caso_numero,victima_edad,victima_identidad_genero,victima_tipo,hecho_provincia,hecho_modalidad_comisiva,hecho_fecha,año,mes
605,32,MUJER,PRINCIPAL,San Luis,DISPARO DE BALA,2016-01-30,2016,1
606,23,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-02-02,2016,2
574,18,MUJER,PRINCIPAL,Buenos Aires,DEGOLLAMIENTO,2016-02-04,2016,2
581,29,MUJER,PRINCIPAL,Santa Fe,ASFIXIA,2016-02-06,2016,2
588,21,MUJER,PRINCIPAL,Entre Rios,APUÑALAMIENTO,2016-02-07,2016,2
578,36,MUJER,PRINCIPAL,Mendoza,APUÑALAMIENTO,2016-02-07,2016,2
589,13,MUJER,PRINCIPAL,Mendoza,ASFIXIA,2016-02-07,2016,2
579,35,MUJER,PRINCIPAL,Santa Fe,APUÑALAMIENTO,2016-02-07,2016,2
580,27,MUJER,PRINCIPAL,Buenos Aires,APUÑALAMIENTO,2016-02-08,2016,2
586,20,MUJER,PRINCIPAL,Buenos Aires,APUÑALAMIENTO,2016-02-09,2016,2
584,38,MUJER,PRINCIPAL,Chaco,APUÑALAMIENTO,2016-02-10,2016,2
585,31,HOMBRE,VINCULADO,Entre Rios,APUÑALAMIENTO,2016-02-10,2016,2
591,39,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO,2016-02-13,2016,2
593,28,MUJER,VINCULADO,Misiones,DISPARO DE BALA,2016-02-13,2016,2
590,50,MUJER,PRINCIPAL,Formosa,APUÑALAMIENTO,2016-02-15,2016,2
592,25,MUJER,PRINCIPAL,Mendoza,GOLPES,2016-02-15,2016,2
596,33,MUJER,PRINCIPAL,Mendoza,DISPARO DE BALA,2016-02-17,2016,2
599,28,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2016-02-21,2016,2
602,34,TRANSGENERO,PRINCIPAL,Buenos Aires,GOLPES,2016-02-23,2016,2
600,64,MUJER,PRINCIPAL,San Juan,GOLPES,2016-02-23,2016,2
604,40,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-02-26,2016,2
603,,TRANSGENERO,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-02-28,2016,2
607,34,MUJER,PRINCIPAL,Buenos Aires,APUÑALAMIENTO,2016-03-07,2016,3
608,17,MUJER,PRINCIPAL,Buenos Aires,APUÑALAMIENTO,2016-03-11,2016,3
610,45,MUJER,PRINCIPAL,San Juan,GOLPES,2016-03-11,2016,3
614,43,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2016-03-13,2016,3
609,26,MUJER,PRINCIPAL,Cordoba,DISPARO DE BALA,2016-03-13,2016,3
612,28,MUJER,PRINCIPAL,Santiago del Estero,INDEFINIDO,2016-03-13,2016,3
611,26,MUJER,PRINCIPAL,Buenos Aires,APUÑALAMIENTO,2016-03-14,2016,3
618,11,MUJER,VINCULADO,Buenos Aires,GOLPES,2016-03-17,2016,3
618,32,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2016-03-17,2016,3
617,29,MUJER,PRINCIPAL,Rio Negro,GOLPES,2016-03-17,2016,3
658,16,MUJER,PRINCIPAL,Salta,GOLPES,2016-03-18,2016,3
616,26,MUJER,PRINCIPAL,Misiones,GOLPES,2016-03-20,2016,3
827,26,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2016-03-21,2016,3
634,32,MUJER,PRINCIPAL,Salta,DISPARO DE BALA,2016-03-21,2016,3
624,28,MUJER,PRINCIPAL,Rio Negro,ACUCHILLAMIENTO,2016-03-23,2016,3
620,27,MUJER,PRINCIPAL,Rio Negro,GOLPES,2016-03-27,2016,3
622,25,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA,2016-03-28,2016,3
621,42,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2016-03-29,2016,3
626,22,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-03-30,2016,3
625,44,MUJER,PRINCIPAL,Cordoba,APUÑALAMIENTO,2016-03-31,2016,3
627,30,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-04-01,2016,4
714,29,TRANSGENERO,PRINCIPAL,Formosa,QUEMADURAS,2016-04-01,2016,4
659,25,MUJER,PRINCIPAL,Salta,DISPARO DE BALA,2016-04-02,2016,4
628,27,MUJER,PRINCIPAL,La Rioja,APUÑALAMIENTO,2016-04-04,2016,4
629,32,HOMBRE,VINCULADO,Santiago del Estero,DISPARO DE BALA,2016-04-06,2016,4
629,36,MUJER,PRINCIPAL,Santiago del Estero,DISPARO DE BALA,2016-04-06,2016,4
629,25,MUJER,VINCULADO,Santiago del Estero,DISPARO DE BALA,2016-04-06,2016,4
630,27,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2016-04-07,2016,4
631,53,MUJER,PRINCIPAL,Santa Fe,GOLPES,2016-04-11,2016,4
657,8,MUJER,PRINCIPAL,Mendoza,QUEMADURAS,2016-04-12,2016,4
647,21,MUJER,PRINCIPAL,Salta,GOLPES,2016-04-18,2016,4
649,18,MUJER,PRINCIPAL,Entre Rios,ESTRANGULAMIENTO,2016-04-22,2016,4
653,13,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2016-04-23,2016,4
642,52,MUJER,PRINCIPAL,Mendoza,GOLPES,2016-04-23,2016,4
633,44,MUJER,PRINCIPAL,Catamarca,ACUCHILLAMIENTO,2016-04-24,2016,4
635,22,MUJER,PRINCIPAL,Santa Cruz,ESTRANGULAMIENTO,2016-04-24,2016,4
637,48,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA,2016-04-24,2016,4
639,24,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2016-04-26,2016,4
641,25,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-04-26,2016,4
638,43,MUJER,PRINCIPAL,Cordoba,APUÑALAMIENTO,2016-04-27,2016,4
643,19,MUJER,PRINCIPAL,Cordoba,GOLPES,2016-04-28,2016,4
644,62,MUJER,PRINCIPAL,Entre Rios,INDEFINIDO,2016-04-28,2016,4
645,44,MUJER,PRINCIPAL,Cordoba,INDEFINIDO,2016-05-03,2016,5
648,26,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO,2016-05-06,2016,5
648,14,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO,2016-05-06,2016,5
646,30,MUJER,PRINCIPAL,Cordoba,DISPARO DE BALA,2016-05-06,2016,5
650,21,MUJER,PRINCIPAL,Santa Fe,GOLPES,2016-05-14,2016,5
